"region","glu_name","region_id","metric_id","landclass","1975","1990","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050"
"Africa_Eastern","AfrCstNE",2,"100","OilCrop_IRR",0.02127,0.0320764,0.0655166,0.057375,0.0585376,0.056293,0.0543403,0.0517772,0.0540572,0.0557519,0.0568874,0.0572144
"Africa_Eastern","AfrCstNE",2,"100","OilCrop_RFD",0.1455606,0.219512,0.44836,0.392644,0.4006,0.384645,0.369837,0.351232,0.39716,0.439924,0.478978,0.511108
"Africa_Eastern","AfrCstNE",2,"100","OtherArableLand",5.85105,4.79208,3.98217,3.67945,4.48421,4.09461,3.6618,3.20833,2.77413,2.35279,1.95793,1.60828
"Africa_Eastern","AfrCstNE",2,"100","OtherGrain_IRR",0.0740616,0.0871726,0.182275,0.1723446,0.1628666,0.1900017,0.217798,0.2398333,0.2464753,0.248269,0.2458306,0.240243
"Africa_Eastern","AfrCstNE",2,"100","OtherGrain_RFD",1.023982,1.205256,2.52016,2.38286,2.2518,2.74646,3.26111,3.70189,3.91671,4.04688,4.099177,4.087379
"Africa_Eastern","AfrCstNE",2,"100","PalmFruit_IRR",0.00552002,0.0088802,0.0071072,0.00752838,0.0076932,0.00744769,0.00756357,0.00755136,0.00741897,0.00718791,0.00686084,0.00642573
"Africa_Eastern","AfrCstNE",2,"100","PalmFruit_RFD",0.000732602,0.0011784,0.0009432,0.00099905,0.001021,0.000992733,0.00099959,0.000989444,0.000967985,0.000934083,0.000888118,0.000828294
"Africa_Eastern","AfrCstNE",2,"100","Pasture",18.983,22.1565,28.682,31.3672,30.0947,34.4636,39.0384,44.3788,49.9416,55.4152,60.558,65.1038
"Africa_Eastern","AfrCstNE",2,"100","ProtectedGrassland",4.38718,4.54517,27.5436,25.6462,25.3622,25.3622,25.3622,25.3622,25.3622,25.3622,25.3622,25.3622
"Africa_Eastern","AfrCstNE",2,"100","ProtectedShrubland",192.486,192.486,192.486,192.496,192.486,192.486,192.486,192.486,192.486,192.486,192.486,192.486
"Africa_Eastern","AfrCstNE",2,"100","ProtectedUnmanagedForest",0,0,0,0,0,0,0,0,0,0,0,0
"Africa_Eastern","AfrCstNE",2,"100","ProtectedUnmanagedPasture",310.126,310.136,275.173,273.015,274.837,274.837,274.837,274.837,274.837,274.837,274.837,274.837
